about,brand,image,link,price,title
"Fujifilm's flagship APSC mirrorless camera,6.5 stop In-body Image Stabilisation,26.1MP APS-C CMOS 4 sensor,18 Film Simulation modes,4K 60p video recording",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175363074.jpg,https://www.jessops.com/p/Fujifilm/X-T4-Mirrorless-Camera-in-Silver-with-XF16-80mm-Lens-187465,"£1,949.00",Fujifilm X-T4 Mirrorless Camera in Silver with XF16-80mm Lens
"20.1 megapixel full frame CMOS sensor,Up to 8-stop image stabilisation,ISO 102400,4K video recording,Up to 20 fps",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195365324.jpg,https://www.jessops.com/p/Canon/EOS-R6-Mirrorless-Camera-Body.-189725,"£2,399.00",Canon EOS R6 Mirrorless Camera Body.
"Ideal for vlogging and streaming,Vari-Angle touch screen for vlogging,Face autoexposure to keep your face bright,4K video and Full HD slow motion,High quality sound with directional microphone",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm195373356.jpg,https://www.jessops.com/p/Sony/ZV-E10-Mirrorless-Vlogger-Camera-with-16-50mm-Power-Zoom-Lens-196423,£769.00,Sony ZV-E10 Mirrorless Vlogger Camera with 16-50mm Power Zoom Lens
"45 megapixel full frame CMOS sensor,8K video recording,Intelligent Image stabilisation system,Up to 20 fps,Wi-fi and Bluetooth connectivity",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm195365326.jpg,https://www.jessops.com/p/Canon/EOS-R5-Mirrorless-Camera-Body-189724,"£4,299.00",Canon EOS R5 Mirrorless Camera Body
"26.1MP X-Trans CMOS 4 sensor,High speed X-Processor 4 processing engine,4K/30P and full-HD/240P video,High definition 1.62-million-dot LCD monitor,Upgraded AUTO shooting mode",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175373952.jpg,https://www.jessops.com/p/Fujifilm/X-T30-II-Mirrorless-Camera-in-Silver-with-XC15-45mm-Lens-196910,£899.00,Fujifilm X-T30 II Mirrorless Camera in Silver with XC15-45mm Lens
"61MP Full-Frame Exmor R BSI CMOS Sensor,BIONZ X Image Processor,567-Point Phase-Detection AF System,Up to 10 fps Shooting,UHD 4K30p Video with HLG & S-Log3 Gammas",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175349812.jpg,https://www.jessops.com/p/Sony/a7R-IV-A-Mirrorless-Camera-Body-175365,"£2,999.00",Sony a7R IV A Mirrorless Camera Body
"26.1MP X-Trans CMOS 4 sensor,High speed X-Processor 4 processing engine,4K/30P and full-HD/240P video,High definition 1.62-million-dot LCD monitor,Upgraded AUTO shooting mode",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175373951.jpg,https://www.jessops.com/p/Fujifilm/X-T30-II-Mirrorless-Camera-in-Black-with-XC15-45mm-Lens-196909,£899.00,Fujifilm X-T30 II Mirrorless Camera in Black with XC15-45mm Lens
"40.2MP X-Trans 5 HR BSI CMOS Sensor,X-Processor 5,Lightweight weather resistant body,6.2K/30P, 4K/60P video,15 fps (mechanical shutter)",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175380043.jpg,https://www.jessops.com/p/Fujifilm/X-T5-Mirrorless-Camera-in-Black-with-XF16-80mm-F4-R-OIS-WR-Lens-202096,"£2,149.00",Fujifilm X-T5 Mirrorless Camera in Black with XF16-80mm F4 R OIS WR Lens
"26.1MP APS-C CMOS 4 and X-Processor 4,6.0 Stop, Five-Axis In body image stabilisation,4K/30p video recording,Full HD/240p slow motion video,1.04 million dot vari-angle LCD touchscreen",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175367437.jpg,https://www.jessops.com/p/Fujifilm/X-S10-Mirrorless-Camera-in-Black-with-XC15-45mm-Lens-191281,£999.00,Fujifilm X-S10 Mirrorless Camera in Black with XC15-45mm Lens
"26.2MP full frame sensor,Compact and lightweight,Dual Pixel CMOS AF,4K video recording,Digic 8 processor",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm185371790.jpg,https://www.jessops.com/p/Canon/EOS-RP-Mirrorless-Camera-Body-195159,"£1,049.00",Canon EOS RP Mirrorless Camera Body
"26.1MP APS-C CMOS 4 and X-Processor 4,6.0 Stop, Five-Axis In body image stabilisation,4K/30p video recording,Full HD/240p slow motion video,1.04 million dot vari-angle LCD touchscreen",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175367438.jpg,https://www.jessops.com/p/Fujifilm/X-S10-Mirrorless-Camera-in-Black-with-XF18-55mm-Lens-191282,"£1,299.00",Fujifilm X-S10 Mirrorless Camera in Black with XF18-55mm Lens
"For videographers and content creators,12.1-MP full frame back-illuminated Exmor R sensor,Supreme 4K video quality,Fast and precise video autofocus,In-body Image Stabilisation of up to 5.5 stops",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm175365645.jpg,https://www.jessops.com/p/Sony/a7S-III-Mirrorless-Camera-Body-190043,"£3,799.00",Sony a7S III Mirrorless Camera Body
